"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,346352.061929738,47036.4330607885,225606.852655101,90467.3527354719,930986.522474851
"WY 2011",171,1343364.33627047,207893.526486104,669049.831588309,477962.057474512,3025270.38239364
"WY 2012",138,23122.3574225559,2803.91926667651,12933.0308561312,7258.05694575767,56108.5029757111
"WY 2013",165,185076.906660953,24652.2483535039,159817.17989101,32434.8110337371,604968.471888517
"WY 2014",91,289.984409802646,49.4408492645904,384.647543603692,24.2310840299511,1257.63356544032
"WY 2015",314,81215.0142939355,10734.1974154291,140778.9100008,4033.60940064262,408326.672296152
"WY 2016",214,179575.318674991,24529.1865241443,310127.579449651,8984.96225849124,901189.206180863
"WY 2017",216,2827167.44271549,455659.652310691,1617331.51789572,864869.592843933,6962992.16510351
"WY 2018",213,4719.38737042302,579.862482385472,7955.41695260539,247.810583615739,23396.2040558188
"WY 2019",212,2069078.07504044,328221.033391159,1388098.79553361,520206.871059599,5675270.34315385
