Dates	Time	Flow	fMeHg
10d	8s	6n	6n
2012-12-03	12:40	1900	0.097
2012-12-05	13:40	274	0.110
2012-12-23	10:10	1750	0.400
2012-12-24	11:50	7340	0.402
2012-12-27	13:20	960	0.188
2014-12-12	14:20	3702	0.071
2014-12-13	9:50	3030	0.078
2014-12-15	11:30	960	0.055
2014-12-16	17:00	2450	0.063
2014-12-20	14:30	2030	0.069
2015-02-09	13:40	1153	0.183
2015-02-10	13:10	1228	0.073
2016-03-10	17:00	134	0.112
2016-03-12	12:20	3557	0.126
2016-03-13	11:30	2941	0.106
2016-03-14	12:10	2655	0.128
2016-03-15	11:40	2120	0.150
2016-03-17	13:10	2258	0.086
2017-01-05	14:30	184	0.072
2017-01-09	17:40	12370	0.086
2017-01-10	14:00	3891	0.067
2017-01-11	16:00	13730	0.056
2017-01-14	15:40	3891	0.072
2017-01-19	12:40	6767	0.076
2017-01-20	11:30	6730	0.058
2017-01-21	10:10	9953	0.055
2017-01-23	11:20	10109	0.053
2017-01-26	11:00	3403	0.063
2017-02-01	12:30	3030	0.044
2017-02-08	13:50	11260	0.079
2017-02-10	14:40	11504	0.119
2017-02-21	13:30	13498	0.086
2017-03-16	14:40	2707	0.058
2017-04-04	15:20	28.4	0.171
2019-01-17	14:50	7965	0.070
2019-01-18	12:00	5744	0.058
2019-02-05	14:20	1068	0.102
2019-02-14	14:10	13575	0.100
2019-02-15	13:17	11138	0.061
2019-02-27	14:20	15929	0.078
2019-02-28	13:50	11842	0.059
2019-03-01	8:30	6789	0.059
2019-03-05	13:50	4471	0.047
2019-03-07	12:50	8151	0.058
2019-03-28	12:40	4244	0.122
2019-04-17	13:30	177	0.108
