"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,0.000987455890457005,0.000123337051650298,0.000684106603022359,0.000237920272842436,0.00276918312892905
"2","WY 2017",365,0.000265078178407883,4.11716239843833e-05,0.000116351239227579,0.000106615436554105,0.000552599904073147
"3","WY 2018",365,3.41744186363409e-05,9.78268905195543e-06,4.51644118724747e-05,2.87534195807398e-06,0.000147883345083601
