"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,6.63695284619566e-05,1.03365467608508e-05,5.70929165881305e-05,1.17001783201642e-05,0.000216370348509703
"2","WY 2017",365,3.01419627871742e-05,7.16308769289091e-06,1.95659731388986e-05,7.90803377999182e-06,8.08292435058274e-05
"3","WY 2018",365,6.5367109026769e-06,1.43489515816017e-06,7.76014751875925e-06,6.70172038347314e-07,2.64625001686395e-05
