Dates	Time	Flow	fMeHg
10d	8s	6n	6n
2016-01-07	15:30	423	0.035
2016-01-08	12:40	152	0.050
2016-01-09	11:50	40	0.060
2016-01-18	14:05	920	0.050
2016-01-19	10:40	983	0.060
2016-01-20	13:05	1763	0.038
2016-03-06	16:40	3739	0.040
2016-03-07	17:10	3296	0.120
2016-03-11	16:50	4466	0.070
2016-03-12	13:00	3881	0.060
2016-03-13	11:40	4590	0.071
2016-03-17	11:40	2807	0.050
2016-04-07	12:00	253	0.055
2016-12-12	12:10	135	0.060
2016-12-16	15:50	2987	0.070
2016-12-17	14:10	761	0.086
2017-01-05	11:10	883	0.083
2017-01-08	16:20	3675	0.085
2017-01-09	15:20	12403	0.042
2017-01-11	14:30	15715	0.036
2017-01-14	14:00	3552	0.030
2017-01-19	13:30	8591	0.032
2017-01-20	15:10	6543	0.022
2017-01-21	13:40	6705	0.026
2017-01-24	13:10	4880	0.017
2017-02-02	12:40	3193	0.014
2017-02-08	12:40	8478	0.027
2017-02-10	13:10	10802	0.054
2017-02-21	12:20	14034	0.030
2017-03-16	13:20	2995	0.024
2017-04-04	13:40	543	0.052
2017-04-26	12:30	358	0.102
