Dates	Time	Flow	fTHg
10d	8s	6n	6n
2016-01-24	10:30	65	6.2
2016-03-10	16:35	123	7.9
2016-03-12	13:15	3702	8.7
2016-03-13	12:05	3061	8.9
2016-03-14	12:35	2628	7.6
2016-03-15	12:10	2108	6.5
2016-03-17	13:25	2270	4.3
2017-01-05	14:45	205	3.7
2017-01-09	17:30	12569	7.3
2017-01-10	14:30	3743	7.8
2017-01-11	16:00	13730	7.4
2017-01-14	15:35	3891	5.4
2017-01-19	12:30	6730	2.5
2017-01-20	10:45	6730	5.0
2017-01-21	9:25	10109	5.6
2017-01-23	11:55	9896	5.6
2017-01-26	11:30	3453	2.5
2017-02-01	13:00	3074	1.5
2017-02-08	13:50	11260	5.2
2017-02-10	14:45	11504	5.6
2017-02-21	13:25	13421	3.6
2017-03-16	15:30	2706	1.7
2017-04-04	15:00	28	1.9
