Site	Dates	Flow
10s	10d	6n
11451800	2015-06-01	652
11451800	2015-06-02	661
11451800	2015-06-03	640
11451800	2015-06-04	640
11451800	2015-06-05	680
11451800	2015-06-06	723
11451800	2015-06-07	783
11451800	2015-06-08	819
11451800	2015-06-09	904
11451800	2015-06-10	866
11451800	2015-06-11	749
11451800	2015-06-12	693
11451800	2015-06-13	680
11451800	2015-06-14	686
11451800	2015-06-15	678
11451800	2015-06-16	718
11451800	2015-06-17	719
11451800	2015-06-18	658
11451800	2015-06-19	619
11451800	2015-06-20	754
11451800	2015-06-21	740
11451800	2015-06-22	648
11451800	2015-06-23	643
11451800	2015-06-24	586
11451800	2015-06-25	541
11451800	2015-06-26	504
11451800	2015-06-27	641
11451800	2015-06-28	635
11451800	2015-06-29	520
11451800	2015-06-30	556
11451800	2015-07-01	615
11451800	2015-07-02	612
11451800	2015-07-03	563
11451800	2015-07-04	647
11451800	2015-07-05	642
11451800	2015-07-06	560
11451800	2015-07-07	509
11451800	2015-07-08	483
11451800	2015-07-09	505
11451800	2015-07-10	529
11451800	2015-07-11	627
11451800	2015-07-12	601
11451800	2015-07-13	491
11451800	2015-07-14	474
11451800	2015-07-15	468
11451800	2015-07-16	439
11451800	2015-07-17	431
11451800	2015-07-18	530
11451800	2015-07-19	551
11451800	2015-07-20	454
11451800	2015-07-21	447
11451800	2015-07-22	488
11451800	2015-07-23	554
11451800	2015-07-24	529
11451800	2015-07-25	612
11451800	2015-07-26	600
11451800	2015-07-27	489
11451800	2015-07-28	471
11451800	2015-07-29	437
11451800	2015-07-30	547
11451800	2015-07-31	670
11451800	2015-08-01	743
11451800	2015-08-02	658
11451800	2015-08-03	628
11451800	2015-08-04	614
11451800	2015-08-05	608
11451800	2015-08-06	559
11451800	2015-08-07	513
11451800	2015-08-08	494
11451800	2015-08-09	489
11451800	2015-08-10	474
11451800	2015-08-11	205
11451800	2015-08-12	131
11451800	2015-08-13	101
11451800	2015-08-14	85
11451800	2015-08-15	77
11451800	2015-08-16	75
11451800	2015-08-17	73
11451800	2015-08-18	68
11451800	2015-08-19	68
11451800	2015-08-20	70
11451800	2015-08-21	69
11451800	2015-08-22	69
11451800	2015-08-23	69
11451800	2015-08-24	68
11451800	2015-08-25	65
11451800	2015-08-26	63
11451800	2015-08-27	65
11451800	2015-08-28	65
11451800	2015-08-29	65
11451800	2015-08-30	66
11451800	2015-08-31	66
11451800	2015-09-01	66
11451800	2015-09-02	66
11451800	2015-09-03	151
11451800	2015-09-04	187
11451800	2015-09-05	189
11451800	2015-09-06	188
11451800	2015-09-07	189
11451800	2015-09-08	188
11451800	2015-09-09	186
11451800	2015-09-10	185
11451800	2015-09-11	185
11451800	2015-09-12	185
11451800	2015-09-13	188
11451800	2015-09-14	154
11451800	2015-09-15	101
11451800	2015-09-16	0
11451800	2015-09-17	0
11451800	2015-09-18	0
11451800	2015-09-19	0
11451800	2015-09-20	0
11451800	2015-09-21	0
11451800	2015-09-22	0
11451800	2015-09-23	0
11451800	2015-09-24	0
11451800	2015-09-25	0
11451800	2015-09-26	0
11451800	2015-09-27	4
11451800	2015-09-28	4
11451800	2015-09-29	4
11451800	2015-09-30	4
