Dates	Time	Flow	Sand
10d	8s	6n	6n
2014-12-03	12:20	91	1.9
2014-12-08	9:04	88	0.7
2014-12-11	14:59	13432	432
2014-12-12	0:50	5659	149
2014-12-14	13:00	644	1.8
2014-12-18	14:17	1240	8.3
2014-12-31	14:10	312	0.5
2015-02-07	12:07	2698	42.3
2015-02-09	14:25	1731	10.8
2015-05-06	16:02	684	1.9
2015-05-22	11:04	715	2.0
2015-06-01	10:42	654	1.1
