"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,398199.903471513,70605.0970204136,202413.164173952,138711.500940934,908394.869947146
"WY 2011",171,1271464.14901094,249321.617993037,536097.522562478,530205.950470589,2588808.93958514
"WY 2012",138,39071.9029166836,7140.64162148838,19520.8773018052,13856.5807912918,88165.1694536862
"WY 2013",165,220126.945128454,38628.8970127953,138451.46041867,60097.1050026728,577742.157547372
"WY 2014",91,866.508145158476,240.845693089629,1061.16392430363,83.9569821165161,3577.59711567165
"WY 2015",314,96786.7395675816,17017.9951403231,138347.094128616,7017.22559549999,438669.536859867
"WY 2016",214,203334.044675381,36313.2477345538,280545.093419103,15772.2699476348,902782.242795989
"WY 2017",216,2523957.20952094,516509.85624716,1314522.88560553,856949.020368163,5847597.50626624
"WY 2018",213,8545.51073487281,1631.95316083769,11472.4986273219,698.059968552709,37330.2065254486
"WY 2019",212,1890832.79370417,380225.637562327,1092002.58905171,572100.382732049,4686295.57737717
