Dates	Flow	SSC
10d	6n	6n
2010-01-21	6832.5	1288.320527
2010-01-22	3745.5	494.3163797
2010-01-26	1867.4	857.3144479
2010-01-27	5286	691.6278219
2010-02-17	346	24.00
2010-03-09	377	14.00
2010-04-06	314	28.00
2010-04-12	235	28.00
2010-04-13	443.5	120.524239
2010-04-14	473	150
2010-04-15	1398.5	144.959242
2010-05-04	435	18.00
2010-06-01	17	68.5
2010-12-30	685.5	237.9766594
2011-01-04	711	60.92827004
2011-01-26	51.5	10
2011-02-03	114	63.00
2011-02-17	353	275.00
2011-02-18	464	193.00
2011-02-23	96.7	22.00
2011-02-28	308.45	29.30896418
2011-03-15	1179	20.98869098
2011-03-17	2091	77.59397418
2011-03-19	4489.5	381.4863571
2011-03-21	11650.5	782.7292391
2011-03-22	6382	268.1695393
2011-03-25	9380	948.00
2011-04-04	3650	77.00
2011-04-26	133	61.02255639
2012-03-16	191	24.00
2012-03-17	173	25.00
2012-03-18	166	32.00
2012-03-20	155	12.00
2012-03-28	180	18.00
2012-03-29	156	176.00
2012-04-04	312	41.00
2012-04-13	207	26.00
2012-12-02	312	191.00
2012-12-03	1100	978.5484848
2012-12-05	343	154.0466472
2012-12-22	184	368.00
2012-12-23	2183.333333	341.9160305
2012-12-24	4710	1018.386412
2012-12-27	1189.333333	191.2869955
2013-01-16	190	20.00
2013-02-04	170	114
2013-02-21	71.4	32.00
2013-04-01	19.7	25.00
2014-12-12	0.001	1985
2014-12-13	4350	688.5057471
2014-12-15	912	253.5
2014-12-16	1440	308.1354167
2014-12-20	1337.0875	96.25374181
2015-01-16	28.3	6.00
2015-01-29	104	158.00
2015-02-08	544	715.00
2015-02-09	384.6666667	317.0069324
2015-02-10	1654.333333	238.1396333
2016-01-20	80.5	172.00
2016-01-23	56.1	55.00
2016-01-24	48.23333333	34.49827229
2016-02-02	503	74.00
2016-02-03	455	75.5
2016-02-04	349	208.00
2016-03-07	535	998.00
2016-03-08	557	825.00
2016-03-09	783	253.00
2016-03-10	369	111.8509485
2016-03-12	3788.333333	363.8966124
2016-03-13	3370	291.3746291
2016-03-14	3313.333333	314.3490946
2016-03-15	2566.666667	201.7090909
2016-03-17	2240	155.0729167
2016-04-06	470	23.00
2016-12-15	2.25	14.00
2016-12-16	18.4	194.00
2016-12-17	432	194.00
2017-01-05	0.001	97
2017-01-09	13375.1875	1174.861474
2017-01-10	4333.583333	609.643309
2017-01-11	9773.583333	993.1189516
2017-01-14	3790	214.5
2017-01-19	3790	318.5
2017-01-20	7940	618.4483627
2017-01-21	9840	610.3943089
2017-01-23	11650	451.0901288
2017-01-26	4303.333333	66.3253292
2017-02-01	3030.1825	47.75266506
2017-02-08	14150.365	635.9439546
2017-02-10	10200.24	581.0013699
2017-02-21	11400.23667	601.4109947
2017-03-16	2748	36.29439592
2017-04-04	111.3333333	22.63473054
2017-04-26	224	16.5
2018-03-22	47.1	15.00
2018-04-08	219	57.00
2019-01-17	3065	947.4763458
2019-01-18	8315	495.1160553
2019-01-30	560	62.00
2019-02-05	1181.666667	265.5901269
2019-02-14	11679.75	1183.00777
2019-02-15	15200	1074.25
2019-02-27	12305.75	991.6199744
2019-02-28	16415.66667	671.3998857
2019-03-01	8057	199.6784141
2019-03-05	5198.5	135.1936616
2019-03-07	9675.25	286.1482907
2019-03-28	4182.666667	127.6812268
2019-04-17	599.5	10.87197665
