Dates	Flow
10d	6n
2010-01-16	0
2010-01-17	0
2010-01-18	0
2010-01-19	10.2
2010-01-20	108
2010-01-21	208
2010-01-22	149
2010-01-23	120
2010-01-24	110
2010-01-25	113
2010-01-26	161
2010-01-27	144
2010-01-28	148
2010-01-29	158
2010-01-30	158
2010-01-31	154
2010-02-01	153
2010-02-02	154
2010-02-03	153
2010-02-04	340
2010-02-05	429
2010-02-06	382
2010-02-07	382
2010-02-08	381
2010-02-09	382
2010-02-10	380
2010-02-11	380
2010-02-12	378
2010-02-13	375
2010-02-14	371
2010-02-15	363
2010-02-16	355
2010-02-17	344
2010-02-18	321
2010-02-19	253
2010-02-20	219
2010-02-21	174
2010-02-22	143
2010-02-23	130
2010-02-24	177
2010-02-25	274
2010-02-26	297
2010-02-27	310
2010-02-28	356
2010-03-01	358
2010-03-02	357
2010-03-03	356
2010-03-04	373
2010-03-05	381
2010-03-06	384
2010-03-07	385
2010-03-08	384
2010-03-09	383
2010-03-10	381
2010-03-11	378
2010-03-12	375
2010-03-13	371
2010-03-14	366
2010-03-15	360
2010-03-16	349
2010-03-17	328
2010-03-18	266
2010-03-19	229
2010-03-20	196
2010-03-21	175
2010-03-22	168
2010-03-23	158
2010-03-24	145
2010-03-25	135
2010-03-26	126
2010-03-27	119
2010-03-28	115
2010-03-29	109
2010-03-30	105
2010-03-31	102
2010-04-01	118
2010-04-02	128
2010-04-03	134
2010-04-04	155
2010-04-05	238
2010-04-06	357
2010-04-07	350
2010-04-08	302
2010-04-09	254
2010-04-10	220
2010-04-11	206
2010-04-12	276
2010-04-13	455
2010-04-14	479
2010-04-15	510
2010-04-16	523
2010-04-17	523
2010-04-18	522
2010-04-19	518
2010-04-20	522
2010-04-21	507
2010-04-22	483
2010-04-23	482
2010-04-24	478
2010-04-25	476
2010-04-26	470
2010-04-27	461
2010-04-28	450
2010-04-29	400
2010-04-30	394
2010-05-01	280
2010-05-02	359
2010-05-03	417
2010-05-04	445
2010-05-05	473
2010-05-06	471
2010-05-07	449
2010-05-08	429
2010-05-09	426
2010-05-10	387
2010-05-11	331
2010-05-12	260
2010-05-13	81.1
2010-05-14	11.7
2010-05-15	6.42
2010-05-16	6.95
2010-05-17	7.44
2010-05-18	9.66
2010-05-19	11.9
2010-05-20	12.8
2010-05-21	13.6
2010-05-22	12.2
2010-05-23	10.1
2010-05-24	11.6
2010-05-25	10.8
2010-05-26	9.74
2010-05-27	11.6
2010-05-28	12.3
2010-05-29	12.1
2010-05-30	13.5
2010-05-31	15.8
2010-06-01	15.2
2010-06-02	10.9
2010-06-03	9.24
2010-06-04	7.55
2010-06-05	7.25
2010-06-06	8.02
2010-06-07	4.99
2010-06-08	0.27
2010-06-09	0.41
2010-12-17	28.5
2010-12-18	46.8
2010-12-19	109
2010-12-20	165
2010-12-21	232
2010-12-22	409
2010-12-23	355
2010-12-24	145
2010-12-25	146
2010-12-26	161
2010-12-27	152
2010-12-28	156
2010-12-29	241
2010-12-30	156
2010-12-31	149
2011-01-01	159
2011-01-02	182
2011-01-03	159
2011-01-04	124
2011-01-05	93
2011-01-06	83.9
2011-01-07	79.3
2011-01-08	77.6
2011-01-09	74.7
2011-01-10	74.5
2011-01-11	75.1
2011-01-12	75.6
2011-01-13	75.4
2011-01-14	72.7
2011-01-15	60.2
2011-01-16	52.4
2011-01-17	50.6
2011-01-18	45.6
2011-01-19	46
2011-01-20	49.9
2011-01-21	50.2
2011-01-22	50.9
2011-01-23	52.5
2011-01-24	54.5
2011-01-25	52.4
2011-01-26	51.5
2011-01-27	51.9
2011-01-28	99.9
2011-01-29	126
2011-01-30	132
2011-01-31	123
2011-02-01	281
2011-02-02	256
2011-02-03	100
2011-02-04	61.5
2011-02-05	43.2
2011-02-06	36.2
2011-02-07	29.8
2011-02-08	26.3
2011-02-09	21.9
2011-02-10	19.9
2011-02-11	18.9
2011-02-12	17.5
2011-02-13	16.8
2011-02-14	16.5
2011-02-15	16.8
2011-02-16	99
2011-02-17	444
2011-02-18	472
2011-02-19	482
2011-02-20	465
2011-02-21	465
2011-02-22	465
2011-02-23	465
2011-02-24	463
2011-02-25	476
2011-02-26	473
2011-02-27	481
2011-02-28	478
2011-03-01	477
2011-03-02	481
2011-03-03	484
2011-03-04	489
2011-03-05	492
2011-03-06	502
2011-03-07	506
2011-03-08	506
2011-03-09	508
2011-03-10	511
2011-03-11	518
2011-03-12	523
2011-03-13	522
2011-03-14	525
2011-03-15	516
2011-03-16	526
2011-03-17	537
2011-03-18	548
2011-03-19	519
2011-03-20	546
2011-03-21	635
2011-03-22	528
2011-03-23	480
2011-03-24	465
2011-03-25	480
2011-03-26	592
2011-03-27	663
2011-03-28	517
2011-03-29	509
2011-03-30	529
2011-03-31	501
2011-04-01	481
2011-04-02	471
2011-04-03	466
