"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",151,0.00385368848165543,0.000414098118414177,0.00348981798457407,0.00062675798171023,0.0130186096756049
"WY 2011",113,0.0214657147578783,0.00239128032566846,0.00565287452936421,0.0124959438451676,0.0344827323274728
"WY 2012",138,0,0,NA,NA,NA
"WY 2013",164,0.00262115948300426,0.00027929384311085,0.00258440635021962,0.00037114422605113,0.0093864968088778
"WY 2014",91,0,0,NA,NA,NA
"WY 2015",305,0.0014786834691729,0.000157566924162118,0.00252566813465046,7.56327234403442e-05,0.00737969126215962
"WY 2016",213,0.00195622124622686,0.000208517976909677,0.00299266975690092,0.000124366067170271,0.00921173598214201
"WY 2017",216,0.0315202036391553,0.00362052364090484,0.00950774722465283,0.0169233939654759,0.0538110127617203
"WY 2018",213,0,0,NA,NA,NA
"WY 2019",212,0.020669905959487,0.00232854241322176,0.00843166910663492,0.00887072028899845,0.0412924891869701
