"","Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"1","WY 2016",366,0.00099848556063805,0.000125942860050996,0.00069537779351896,0.000238893904443927,0.00281026144740309
"2","WY 2017",365,0.000207080480260406,5.14722423945084e-05,0.000138154506501604,5.24438831311669e-05,0.000565831830151827
